population,generations_ago,Ne
Africa,474.9814803228499,23302.893697262632
Africa,479.3808495089106,23217.29423063453
Africa,483.82096649259574,23167.905212540467
Africa,488.302208687788,23027.1016451067
Africa,492.8249570040513,22940.271719489436
Africa,497.38959587900627,22868.47420172416
Africa,501.9965133110079,22734.260541785396
Africa,506.64610089212687,22723.48775604226
Africa,511.3387538414326,22637.262543404297
Africa,516.0748710385908,22601.106473365224
Africa,520.854855057766,22553.381964668588
Africa,525.6791122018419,22505.538924841727
Africa,530.5480525369574,22493.521741367545
Africa,535.4620899273607,22468.221308267108
Africa,540.4216420705915,22468.221308267108
Africa,545.4271305329836,22447.19151468961
Africa,550.4789807854968,22328.91304523327
Africa,555.5776222398878,22246.032762311275
Africa,560.7234882852033,22275.02761320774
Africa,565.9170163246242,22145.65512902105
Africa,571.1586478126435,22100.238587576423
Africa,576.4488282925873,22043.064567648005
Africa,581.7880074344936,21984.6872334032
Africa,587.1766390733255,21872.730289251216
Africa,592.6151812475553,21826.256220358475
Africa,598.1040962380944,21751.47776117664
Africa,603.6438506075864,21671.78730358025
Africa,609.2349152400711,21582.59817794316
Africa,614.8777653810023,21559.931474006393
Africa,620.57288067765,21468.109035593036
Africa,626.3207452198692,21431.040992896676
Africa,632.1218475812449,21307.916968209003
Africa,637.9766808606282,21195.125990331995
Africa,643.885742724042,21188.676941203397
Africa,649.8495354469889,21145.292398675483
Africa,655.8685659571436,21057.949094675725
Africa,661.9433458774395,21040.63637065796
Africa,668.0743915695615,21026.573445331764
Africa,674.2622241778342,20995.37214010596
Africa,680.5073696735207,20995.37214010596
Africa,686.8103588995307,20925.531282958007
Africa,693.1717276155407,20872.57355923054
Africa,699.5920165435374,20872.57355923054
Africa,706.0717714137772,20796.141081551137
Africa,712.6115430111745,20781.874238186698
Africa,719.2118872221192,20708.71317709603
Africa,725.8733650817253,20680.58296392067
Africa,732.596542821523,20692.103089432072
Africa,739.3819919175866,20692.103089432072
Africa,746.2302891391108,20680.58296392067
Africa,753.1420165974375,20655.051232732993
Africa,760.117761795533,20612.764425931324
Africa,767.1581176779302,20575.952947704893
Africa,774.263682681127,20544.456014035488
Africa,781.4350607844542,20507.593334243636
Africa,788.6728615614156,20485.38087794684
Africa,795.9777002314986,20415.46314693574
Africa,803.3501977124735,20370.67195854969
Africa,810.7909806731686,20370.67195854969
Africa,818.300681586739,20361.91869712324
Africa,825.8799387844272,20328.316890197195
Africa,833.5293965098195,20303.103349411896
Africa,841.2497049736119,20238.12630857437
Africa,849.0415204088747,20290.44996016417
Africa,856.9055051268348,20303.103349411896
Africa,864.8423275731726,20265.22284222828
Africa,872.8526623848379,20238.12630857437
Africa,880.9371904473991,20265.22284222828
Africa,889.0965989529158,20215.028133680033
Africa,897.3315814583519,20211.20247158629
Africa,905.6428379445294,20093.948501715673
Africa,914.0310748756232,19948.66282336211
Africa,922.4970052592174,19915.508090356117
Africa,931.0413487069076,19915.508090356117
Africa,939.6648314954692,19915.508090356117
Africa,948.3681866285928,19879.435783757905
Africa,957.1521538991864,19863.54257756332
Africa,966.0174799522646,19858.6722511745
Africa,974.9649183484088,19823.009876796583
Africa,983.9952296278226,19758.943702760214
Africa,993.10918137498,19754.412006072795
Africa,1002.3075482838652,19743.386288090504
Africa,1011.5911122238298,19743.386288090504
Africa,1020.9606623060464,19729.05368962056
Africa,1030.4169949505874,19702.6493306495
Africa,1039.9609139541203,19682.657824946044
Africa,1049.5932305582278,19646.379115234857
Africa,1059.31476351837,19630.638845373607
Africa,1069.126339173476,19629.49818210162
Africa,1079.0287915161837,19630.638845373607
Africa,1089.0229622637305,19633.08822252149
Africa,1099.1097009294972,19628.216217393623
Africa,1109.2898648952228,19618.224004096723
Africa,1119.5643194838783,19517.55951169232
Africa,1129.9339380332217,19446.195051791627
Africa,1140.399601970033,19369.22770825357
Africa,1150.9622008850324,19319.79441629666
Africa,1161.6226326085018,19296.6836412376
Africa,1172.3818032865986,19149.821940571273
Africa,1183.240627458378,19115.078304509705
Africa,1194.2000281335324,19000.09064633448
Africa,1205.260936870843,18977.648523918397
Africa,1216.424293857368,18801.418301768623
Africa,1227.691047988359,18761.51279640243
Africa,1239.0621569479156,18663.20971065658
Africa,1250.5385872903914,18639.697110901412
Africa,1262.1213145225474,18586.71816613824
Africa,1273.8113231864784,18540.12768171251
Africa,1285.6096069432965,18447.546023765743
Africa,1297.5171686575868,18304.746665230497
Africa,1309.5350204826675,18282.87362769423
Africa,1321.6641839466051,18248.397346877064
Africa,1333.9056900390588,18227.56711798826
Africa,1346.2605792989111,18174.513836193357
Africa,1358.7299019027091,18148.66415431859
Africa,1371.3147177539456,18055.237388038346
